Latitude (decimal degrees):	31.668
Longitude (decimal degrees):	-106.288
Elevation (m):	1112
Radiation database:	PVGIS-ERA5


Slope: 54 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	0.4
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190420:1230,0.0,0.0,0.0,0.0,-1.11,14.73,3.79,0.0
20190420:1330,208.46,501.68,116.23,6.43,11.44,14.29,3.45,0.0
20190420:1430,288.98,753.6,137.55,16.01,24.18,16.58,2.76,0.0
20190420:1530,319.95,878.42,136.56,25.36,36.88,21.44,3.24,0.0
20190420:1630,324.52,911.87,129.39,33.23,49.19,24.99,3.59,0.0
20190420:1730,312.18,883.29,119.35,38.93,60.38,27.71,3.79,0.0
20190420:1830,295.76,829.92,112.24,41.93,68.36,29.66,4.41,0.0
20190420:1930,294.23,826.65,110.34,42.17,69.01,30.71,4.9,0.0
20190420:2030,308.76,873.7,119.08,39.49,61.79,31.79,5.52,0.0
20190420:2130,320.78,910.53,127.98,34.17,50.89,32.41,6.28,0.0
20190420:2230,316.25,888.96,135.4,26.6,38.67,32.64,6.9,0.0
20190420:2330,280.93,750.77,150.3,17.25,26.0,32.54,7.52,0.0
20190421:0030,208.56,529.45,129.78,7.8,13.38,31.96,7.86,0.0
20190421:0130,0.28,0.0,7.36,0.43,0.8,30.6,7.38,0.0
20190421:0230,0.0,0.0,0.0,0.0,0.0,28.52,6.69,0.0
20190421:0330,0.0,0.0,0.0,0.0,0.0,27.03,6.41,0.0
20190421:0430,0.0,0.0,0.0,0.0,0.0,25.88,6.41,0.0
20190421:0530,0.0,0.0,0.0,0.0,0.0,24.81,6.69,0.0
20190421:0630,0.0,0.0,0.0,0.0,0.0,23.78,6.62,0.0
20190421:0730,0.0,0.0,0.0,0.0,0.0,23.14,6.41,0.0
20190421:0830,0.0,0.0,0.0,0.0,0.0,22.12,5.79,0.0
20190421:0930,0.0,0.0,0.0,0.0,0.0,20.94,4.9,0.0
20190421:1030,0.0,0.0,0.0,0.0,0.0,19.64,3.93,0.0
20190421:1130,0.0,0.0,0.0,0.0,0.0,18.36,3.31,0.0
20190421:1230,0.0,0.0,0.0,0.0,-0.88,17.13,3.17,0.0
20190421:1330,204.19,496.41,116.12,6.5,11.66,16.11,2.97,0.0
20190421:1430,284.32,746.75,136.85,16.01,24.39,18.21,2.69,0.0
20190421:1530,322.35,870.81,135.5,25.28,37.1,21.53,4.55,0.0
20190421:1630,333.68,904.85,128.68,33.13,49.44,23.18,6.07,0.0
20190421:1730,323.73,875.41,120.11,38.84,60.66,24.51,6.69,0.0
20190421:1830,305.38,821.6,112.62,41.82,68.7,25.82,6.97,0.0
20190421:1930,301.37,817.08,112.07,42.04,69.32,27.46,6.9,0.0
20190421:2030,314.6,866.94,118.52,39.34,62.01,28.38,6.55,0.0
20190421:2130,323.38,903.08,126.76,33.99,51.05,29.12,6.14,0.0
20190421:2230,316.03,882.17,133.23,26.45,38.81,29.68,5.86,0.0
20190421:2330,283.33,766.23,142.01,17.36,26.13,30.04,5.72,0.0
20190422:0030,199.25,494.93,134.59,7.69,13.5,30.05,5.52,0.0
20190422:0130,0.65,0.0,9.46,0.49,0.94,29.33,4.62,0.0
20190422:0230,0.0,0.0,0.0,0.0,0.0,27.63,3.38,0.0
20190422:0330,0.0,0.0,0.0,0.0,0.0,26.07,4.14,0.0
20190422:0430,0.0,0.0,0.0,0.0,0.0,24.73,5.03,0.0
20190422:0530,0.0,0.0,0.0,0.0,0.0,23.62,5.24,0.0
20190422:0630,0.0,0.0,0.0,0.0,0.0,22.7,5.1,0.0
20190422:0730,0.0,0.0,0.0,0.0,0.0,21.86,4.41,0.0
20190422:0830,0.0,0.0,0.0,0.0,0.0,21.13,4.55,0.0
20190422:0930,0.0,0.0,0.0,0.0,0.0,20.37,4.28,0.0
20190422:1030,0.0,0.0,0.0,0.0,0.0,19.55,3.72,0.0
20190422:1130,0.0,0.0,0.0,0.0,0.0,18.64,2.9,0.0
20190422:1230,0.0,0.0,0.0,0.0,-0.65,17.73,2.48,0.0
20190422:1330,26.11,24.13,66.69,3.35,11.87,17.03,2.0,0.0
20190422:1430,55.35,19.88,154.69,8.03,24.61,18.28,1.52,0.0
20190422:1530,100.93,54.67,252.11,13.61,37.32,20.43,2.48,0.0
20190422:1630,161.41,139.26,346.32,20.64,49.67,21.59,3.86,0.0
20190422:1730,231.85,318.61,389.52,29.74,60.94,22.7,3.93,0.0
20190422:1830,263.74,470.35,350.48,36.71,69.04,24.06,3.38,0.0
20190422:1930,261.36,590.69,241.67,37.5,69.63,25.73,2.0,0.0
20190422:2030,299.04,839.84,125.37,38.68,62.23,26.9,2.69,0.0
20190422:2130,294.76,762.46,192.52,31.92,51.21,27.79,3.1,0.0
20190422:2230,171.63,311.69,224.15,16.84,38.94,28.19,3.31,0.0
20190422:2330,56.25,111.78,72.07,5.19,26.25,28.12,3.31,0.0
20190423:0030,3.66,0.0,22.25,1.14,13.63,27.67,3.66,0.0
20190423:0130,0.0,0.0,4.41,0.23,1.07,23.65,8.34,0.0
20190423:0230,0.0,0.0,0.0,0.0,0.0,19.53,6.07,0.0
20190423:0330,0.0,0.0,0.0,0.0,0.0,18.59,4.69,0.0
20190423:0430,0.0,0.0,0.0,0.0,0.0,17.94,3.52,0.0
